"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"*commentDate_18-6-2025";10,023;1,338;-0,889;-3,086;-0,433;-0,631
"*commentDate_20-6-2025";2,061;0,038;0,235;-3,339;-1,065;0,054
"-*tanitascala";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*virginie_helvetia";-4,332;-0,183;98,283;-1,792;-0,233;-7,094
"-*shitpostecolomontagnon";0,004;-0,052;-0,405;0,022;-0,067;0,097
"-*able_archer";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*aperitif64";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"-*mattberclaz";-0,619;-0,026;-0,202;0,919;-0,033;0,048
"-*karenburgundy";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*cecile55555";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"*a_0679";6,699;-0,104;-0,809;0,043;-0,133;-2,913
"*postLikes_670";6,699;-0,104;-0,809;0,043;-0,133;-2,913
"*postDate_2-8-2024";6,699;-0,104;-0,809;0,043;-0,133;-2,913
"*commentDate_22-6-2025";6,462;-0,431;-0,387;0,546;-0,549;-4,415
"-*asexandre";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*servetteinside";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*nenuphar29";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*doodlydush";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"*a_0680";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"*postLikes_494";9,696;-0,039;-0,304;-0,844;-0,05;-2,2
"*postDate_4-8-2024";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*guillodemontmege";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*a_0681";1,541;-0,052;-0,405;0,022;-0,067;-0,491
"*postLikes_643";1,541;-0,052;-0,405;0,022;-0,067;-0,491
"*postDate_5-8-2024";1,541;-0,052;-0,405;0,022;-0,067;-0,491
"-*bertolamifabrice";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*valenflip";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"-*pierro_freebord";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"*a_0682";3,854;-0,131;-1,012;-0,022;-0,166;-0,621
"*postDate_7-8-2024";3,854;-0,131;-1,012;-0,022;-0,166;-0,621
"-*carloslealartist";0,157;-0,039;-0,304;-0,844;-0,05;0,729
"-*iriscurdy";0,771;-0,026;-0,202;0,919;-0,033;-1,467
"-*instagalaico";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*intense_illusion";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*a_0683";17,721;-0,496;-1,959;-0,842;-0,632;-2,781
"*postLikes_8300";-34,185;-4,562;-8,827;-26,136;-2,446;142,479
"*postComments_68";-0,004;-1,176;7,969;-0,916;-1,498;-0,053
"*postDate_8-8-2024";17,721;-0,496;-1,959;-0,842;-0,632;-2,781
"*commentDate_24-12-2024";91,719;-2,8;-17,518;-31,567;-1,821;-0,124
"-*isabelle_garin";3,079;-0,039;-0,304;-0,844;-0,05;-0,099
"*commentDate_29-9-2024";-2,665;0,059;-4,169;-3,91;-1,015;19,866
"-*chanciia";6,159;-0,078;0,402;-1,688;-0,1;-1,616
"-*frenchie_in_brussels";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*ccobrist";0;0;0;0;0;0
"-*luciee_rrt";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"-*brod_n_geek";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*commentDate_18-9-2024";-5,88;-0,248;-0,351;7,167;1,554;0
"-*chris10_upanddown";-0,928;-0,039;-0,304;0,227;-0,05;0,729
"-*auroremegvne";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*jessicalevadoux";0,771;37,323;-0,202;-0,562;-0,033;-1,467
"-*tanaquil_cobain";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*v__wbr";0;0;0;0;0;0
"-*asmahennaaa_91";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*valerianekissy";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"*commentLikes_108";0,783;-0,196;-0,114;0,195;-0,25;-0,495
"-*m_baeri_";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*gerardjacquot";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"*commentDate_25-9-2024";0,19;-0,183;-0,07;-0,002;2,639;-0,249
"-*nathan_parigot";0,771;-0,026;3,993;-0,562;-0,033;-1,467
"-*le_crochet_de_lune";6,167;-0,209;-1,619;0,087;-0,266;-1,964
"-*sylvieengelhardt";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*guillaume_blancc";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*julie_f4v";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*pikatchoune";-0,161;-0,078;-0,607;-1,688;-0,1;4,137
"-*bellieres";-0,309;-0,013;9,884;-0,281;-0,017;-0,733
"-*sophatale";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*willowsophotographie";-0,036;-0,065;-0,506;-1,406;-0,083;2,91
"-*zaza_of_marseille";9,696;-0,039;-0,304;-0,844;-0,05;-2,2
"*commentDate_19-9-2024";-1,547;-0,065;-0,506;4,226;-0,083;-0,011
"-*linaatimene";3,079;-0,039;-0,304;0,227;-0,05;-2,2
"*a_0684";15,764;-0,483;-0,635;-8,005;-0,616;-0,047
"*postDate_10-8-2024";15,764;-0,483;-0,635;-8,005;-0,616;-0,047
"*commentDate_27-9-2024";0,077;-0,196;-1,518;-0,65;-0,25;1,924
"*commentDate_26-9-2024";0,095;-0,091;-0,708;-1,969;-0,116;2,432
"-*smt_lrs";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*commentDate_20-9-2024";-0,339;-0,091;-0,708;-0,24;-0,116;2,432
"-*devilleduc";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*lilly_ddz";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*cheu_cheu_officiel";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"*commentDate_2-9-2024";-2,166;-0,091;0,218;-0,24;-0,116;2,432
"-*saxermimi";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*etienne_racine_photo";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*_raven_tattoo_";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*emmanuelle__nanou";-0,309;-0,013;9,884;-0,281;-0,017;-0,733
"-*kol_and_ra";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*vivi_des_pres_fleuris";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*seb_inline_loz";-0,161;-0,078;-0,607;-1,688;-0,1;4,137
"-*da_brunobello_";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*onlysuccube";0,313;-0,078;-0,607;-1,688;-0,1;1,459
"-*ricardopereiraobc";0,771;-0,026;3,993;-0,562;-0,033;-1,467
"-*vagabonde_";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"-*neptunesjaw";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"*commentLikes_88";-0,647;-0,248;11,42;-0,009;-0,316;-0,896
"-*marybiquette";0;0;0;0;0;0
"-*allisonbrs_";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*tizzia";-0,036;-0,065;-0,506;0,951;-0,083;-0,011
"-*me_lo_dy_16";-1,03;-0,131;0,008;0,378;-0,166;0,242
"-*carooooohhhhh";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*emk22tr";-0,619;-0,026;3,993;-0,562;-0,033;0,048
"-*cloe_delalande";0,47;-0,117;-0,911;-2,531;-0,15;2,188
"-*fabricejosephkaiser";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*henzi_37";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*commentDate_23-9-2024";0,017;-0,209;-0,166;-2,302;-0,266;2,673
"-*mitsukodj";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*carolvne";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*sekoya_13";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*a_0685";0,172;2,578;0,08;-2,825;-0,299;0,436
"*postDate_13-8-2024";0,172;2,578;0,08;-2,825;-0,299;0,436
"*commentDate_23-11-2024";0,157;-0,039;-0,304;-0,844;-0,05;0,729
"-*yayouye";-0,928;-0,039;-0,304;-0,844;-0,05;4,091
"-*colasmeu";-0,619;-0,026;-0,202;0,919;-0,033;0,048
"-*motorfrost";-0,309;-0,013;9,884;-0,281;-0,017;-0,733
"-*brazaltina";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*sylviedufauret";-0,309;76,631;-0,101;-0,281;-0,017;-0,733
"-*naniefiik";3,079;-0,039;-0,304;-0,844;-0,05;-0,099
"-*najoev";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"-*pascale2462";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*barbielausanne";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"-*publio_cornelio_scipion";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"*a_0686";1,434;-0,091;-0,708;-0,24;-0,116;0,001
"*postDate_14-8-2024";1,434;-0,091;-0,708;-0,24;-0,116;0,001
"-*swiss_ch14";0,771;-0,026;-0,202;0,919;-0,033;-1,467
"-*valais_1897";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*jeepcj7_v8";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*seb7815a";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*commentDate_23-1-2025";33,066;-1,49;-9,45;-3,301;-0,408;-1,398
"-*niiokoo";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"*a_0687";0,771;-0,026;-0,202;0,919;-0,033;-1,467
"*postDate_16-8-2024";0,771;-0,026;-0,202;0,919;-0,033;-1,467
"-*eziovega";5,85;-0,052;-0,405;0,022;-0,067;-2,934
"*a_0688";-0,211;-0,209;-1,619;-4,501;-0,266;9,942
"*postDate_18-8-2024";-0,211;-0,209;-1,619;-4,501;-0,266;9,942
"*a_0689";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"*postDate_19-8-2024";0,152;-0,496;-3,846;-2,896;-0,632;6,771
"-*jere_m_ulti";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*themadplatypus";0,771;-0,026;-0,202;0,919;-0,033;-1,467
"*a_0690";-0,04;-0,47;-3,644;-2,47;-0,599;8,755
"-*gregoiremartinbled";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*freddy_131313";0,004;-0,052;-0,405;0,022;-0,067;0,097
"-*faivrechristine";-0,619;-0,026;-0,202;0,919;-0,033;0,048
"-*so__beyrouth";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*ateliernoiretcoussin";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*lorraine_court";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*wibratemartine";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"-*ewaphotos";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"-*nico__erne";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*pierrelouisparant";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"-*jacquesblanchard2";3,665;-0,065;-0,506;-1,406;-0,083;-0,011
"*a_0691";-0,619;-0,026;-0,202;0,919;-0,033;0,048
"*postDate_21-8-2024";-0,619;-0,026;-0,202;0,919;-0,033;0,048
"-*mrzeester";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"*a_0692";38,051;-0,3;-2,328;-1,065;-0,383;-10,65
"*postDate_23-8-2024";38,051;-0,3;-2,328;-1,065;-0,383;-10,65
"-*paiguette29";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*ingrid38vs";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*francesca_deiasio";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*peyruguesjean";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*mgi_metaleux42";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*joel_fischer_photo";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*funkyjoon";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*sophie_schwab";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*yvodowei";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*shockadelica_72";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*yusuf_aslan_official";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"*a_0693";20,703;-0,888;-4,858;0;-0,012;-5,756
"*postComments_86";0,133;-2,538;-11,836;33,683;-0,442;-6,92
"*postDate_25-8-2024";20,703;-0,888;-4,858;0;-0,012;-5,756
"*commentDate_11-12-2024";27,885;-1,267;-1,049;-10,644;-0,221;-0,69
"-*dominique_dupraz";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*le_welsch_";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*ben_in_a_jeep";0,771;-0,026;-0,202;0,919;-0,033;-1,467
"*commentDate_24-9-2024";0,157;-0,039;-0,304;0,227;-0,05;-0,099
"-*guedescmdt";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*alainvitrerie";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*annik_berger";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*agios_raki_rv";-1,547;-0,065;0,701;-1,406;-0,083;2,91
"*commentDate_12-9-2024";0,004;-0,052;1,199;0,022;-0,067;-0,491
"-*samboa_ch";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*amg_henry";-0,161;-0,078;-0,607;-0,098;-0,1;1,459
"-*ld_1969";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*zulucharlieairsoft";0,771;-0,026;-0,202;0,919;-0,033;-1,467
"-*guarino_daniel";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*alain_freyre57";-0,036;-0,065;0,701;0,951;-0,083;-1,02
"-*lamotopoderosa";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"-*yaris_gr_novidem";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*celmi456";4,625;4,685;-1,214;-1,299;-0,2;-0,396
"-*franciskech";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*blackduckgarlic";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*chrisoz64";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*jeancedricmichel";-0,619;-0,026;3,993;0,919;-0,033;-1,467
"-*indianajones1967";2,228;3,413;-1,518;-0,033;-0,25;-0,495
"*commentDate_30-9-2024";0,008;-0,104;-0,809;3,674;-0,133;-0,982
"-*xavier_vlt";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*abeldabear";-0,181;-0,144;4,313;6,823;-0,183;-8,068
"*commentDate_30-8-2024";3,665;-0,065;-0,506;-1,406;10,48;-1,02
"-*ilestlibremax";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*alain_fardel";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*pat_artiste_switzerland";-0,928;-0,039;2,096;0,227;18,733;-2,2
"-*ci_kaizen";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*ecop_francois";2,161;-0,117;-0,911;-2,531;-0,15;0,647
"*commentDate_27-8-2024";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"-*dydoune64";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*nussbaum832";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*david_66140";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*yz_greg";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"-*gregory_v2210";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*ekuroeil";-0,647;-0,248;-1,923;0,211;-0,316;1,891
"-*art_leclown_666";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*sym_jet14";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*nito_503";-7,99;0;-0,775;31,568;-0,067;-2,861
"-*mullemans_sylvain";-0,619;-0,026;-0,202;7,112;-0,033;-1,467
"-*swissburger_74";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*reiviloroyam";-0,619;-0,026;-0,202;7,112;-0,033;-1,467
"*a_0694";3,665;-0,065;-0,506;-1,406;-0,083;-0,011
"*postDate_26-8-2024";3,665;-0,065;-0,506;-1,406;-0,083;-0,011
"-*stalatumemanques";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*a_0695";-0,549;-0,104;-0,809;-2,25;5,869;3,503
"*postDate_28-8-2024";-0,549;-0,104;-0,809;-2,25;5,869;3,503
"-*fabienbibe32";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*alexis_aaaaaaaa";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*a_0696";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"*postLikes_263";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"*postDate_29-8-2024";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*yes__siiiir";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"*a_0697";1,541;-0,052;-0,405;-1,125;-0,067;0,097
"*postLikes_844";1,541;-0,052;-0,405;-1,125;-0,067;0,097
"*postDate_30-8-2024";1,541;-0,052;-0,405;-1,125;-0,067;0,097
"-*olivierbettex";0,771;-0,026;-0,202;0,919;-0,033;-1,467
"-*mdi_montass";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*missfioue_ch";0,004;-0,052;-0,405;0,022;-0,067;0,097
"*a_0698";-3,094;-0,131;-1,012;-2,813;50,005;3,142
"*postLikes_808";0,077;-0,196;-1,518;-2,046;31,444;0,117
"*postDate_1-9-2024";-3,094;-0,131;-1,012;-2,813;50,005;3,142
"*commentDate_21-11-2024";2,161;-0,117;-0,911;-2,531;5,022;0,017
"-*patricia_veg_8";-0,309;-0,013;-0,101;-0,281;60,131;-0,733
"-*madame_mouton_";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*dany96660";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"*a_0699";-0,036;-0,065;0,701;-0,011;10,48;-1,02
"*postLikes_204";-0,036;-0,065;0,701;-0,011;10,48;-1,02
"*postDate_2-9-2024";-0,036;-0,065;0,701;-0,011;10,48;-1,02
"-*doan_thyvan15101";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*m4x4ldente_";-0,309;-0,013;-0,101;-0,281;60,131;-0,733
"*a_0700";-0,019;-0,405;-1,321;-4,348;-0,516;8,218
"*postComments_56";31,188;-2,708;3,698;-18,293;-3,452;-2,221
"*postDate_4-9-2024";-0,019;-0,405;-1,321;-4,348;-0,516;8,218
"-*jianghu_martial_scholars_way";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*greg_capesse";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*eltotow";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*philippethery_photographe";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"-*anais_etile";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*helena_karel_";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*nana_ana_144";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*charlottededdeb";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*misterhighproject";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*xpensiveshit_is_freakingood";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*robin_kazou";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*agreatmonarch888";-0,309;-0,013;9,884;-0,281;-0,017;-0,733
"*commentDate_15-9-2024";3,079;-0,039;-0,304;-0,844;-0,05;-0,099
"-*papydusud";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*tougnemarin";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*marbellactivity";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*fred_cre";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*dimitrihausammann";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*fabzzeer";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*fullovempty";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*monsieurdam";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"-*yannadvita";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"*commentLikes_147";-1,857;-0,078;0,402;-1,688;-0,1;4,137
"-*zede_de_seze";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*melusine_de_saillon";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*radja_valraven";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"*a_0701";79,624;-0,418;-3,239;-4,606;-0,532;-20,137
"*postDate_6-9-2024";79,624;-0,418;-3,239;-4,606;-0,532;-20,137
"-*sandrine_p_g";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*chrisne0970";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"*commentDate_14-9-2024";1,541;-0,052;-0,405;0,022;-0,067;-0,491
"-*gillespavot";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*commentDate_13-9-2024";2,869;-0,183;-1,417;0,358;-0,233;-1,083
"-*didier_brugger";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*zidanisandra";6,464;-0,026;-0,202;-0,562;-0,033;-1,467
"-*crossjab31";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*jeromka_ej_fan";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*laurie__nv";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*tamao899193";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*alessherndz";0,157;-0,039;2,096;0,227;-0,05;-2,2
"-*caroline_h79";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*noceravero";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*toinette14";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*catherin_ebuse";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*a_0702";-0,833;-0,522;-4,049;-0,463;0,186;6,684
"*postDate_8-9-2024";-0,833;-0,522;-4,049;-0,463;0,186;6,684
"-*yasmina_1509_";-0,309;-0,013;-0,101;-0,281;60,131;-0,733
"-*lyvdv_2012";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*tiao8282";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*kde126";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"-*pinkw_atermelon21";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*singsing1979";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*kay_x_11";-2,166;-0,091;0,218;0,179;-0,116;0,631
"-*basile_pont";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*shortslaurent";-0,619;37,323;-0,202;-0,562;-0,033;0,048
"-*lainedeverre_";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*basile_images";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*aurelie_jordi";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*ludiluddha";-0,619;-0,026;-0,202;0,919;-0,033;0,048
"-*candissidente";-0,928;-0,039;-0,304;0,227;-0,05;0,729
"-*cece_branco";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*a_0703";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*postDate_9-9-2024";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*a_0704";-0,244;11,205;-0,493;-0,103;-0,349;0,243
"*postLikes_913";-0,244;11,205;-0,493;-0,103;-0,349;0,243
"*postDate_11-9-2024";-0,244;11,205;-0,493;-0,103;-0,349;0,243
"-*hypotypose";-0,036;-0,065;-0,506;0,951;-0,083;-0,011
"-*bruno_albuquerque2006";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"-*claude_treflez";-0,619;-0,026;-0,202;0,919;-0,033;0,048
"-*deuche58";-0,619;37,323;-0,202;-0,562;-0,033;0,048
"-*baudvaleragabriela";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"-*stephane_lbk";-0,161;-0,078;-0,607;2,756;-0,1;-0,198
"-*rac848r";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"*a_0705";5,827;-0,144;-1,113;0,182;-0,183;-2,624
"*postDate_13-9-2024";5,827;-0,144;-1,113;0,182;-0,183;-2,624
"-*_sozu_";-0,04;7,351;-6,845;-0,007;0,222;1,06
"-*s_unk_";0,771;-0,026;-0,202;0,919;-0,033;-1,467
"-*princesse170889";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*jiggyjones71";3,079;-0,039;-0,304;0,227;-0,05;-2,2
"*a_0706";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"*postLikes_718";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"*postDate_15-9-2024";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"*commentDate_16-9-2024";-4,144;-0,274;-2,125;-0,103;-0,349;9,879
"*a_0707";-3,847;-0,261;-2,024;-0,044;-0,333;8,759
"*postDate_16-9-2024";-3,847;-0,261;-2,024;-0,044;-0,333;8,759
"-*ulyssev";-0,619;-0,026;-0,202;-0,562;-0,033;2,727
"*a_0708";-5,571;-0,235;-1,822;8,269;1,719;0,034
"*postLikes_575";-5,571;-0,235;-1,822;8,269;1,719;0,034
"*postDate_18-9-2024";-5,571;-0,235;-1,822;8,269;1,719;0,034
"-*frmia999";-0,619;-0,026;3,993;-0,562;-0,033;0,048
"-*pierrestreicher";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*studio_mecanique";-0,309;-0,013;-0,101;3,556;-0,017;-0,733
"-*maxi_trail_team";-2,785;-0,117;-0,911;0,681;5,022;0,647
"-*twentychmpgn";0,771;-0,026;-0,202;-0,562;-0,033;0,048
"-*guillaume_tache";-0,619;-0,026;-0,202;7,112;-0,033;-1,467
"-*hermann_mendes";-0,309;-0,013;-0,101;-0,281;-0,017;1,364
"*a_0709";5,85;-0,052;-0,405;-1,125;-0,067;-0,491
"*postLikes_235";5,85;-0,052;-0,405;-1,125;-0,067;-0,491
"*postDate_20-9-2024";5,85;-0,052;-0,405;-1,125;-0,067;-0,491
"*commentDate_21-9-2024";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*a_0710";0,004;-0,052;-0,405;0,022;-0,067;0,097
"*postLikes_632";0,004;-0,052;-0,405;0,022;-0,067;0,097
"*postDate_22-9-2024";0,004;-0,052;-0,405;0,022;-0,067;0,097
"*commentDate_27-11-2024";40,049;-0,509;-3,948;-6,445;-0,649;-3,18
"*a_0711";-1,29;-0,627;-0,042;-1,521;0,06;5,053
"*postLikes_4700";-45,782;-3,776;-19,602;275,232;-1,327;-22,593
"*postDate_23-9-2024";-1,29;-0,627;-0,042;-1,521;0,06;5,053
"*commentDate_16-10-2024";0,004;-0,052;-0,405;0,022;-0,067;0,097
"-*muzartsky";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"*commentDate_8-10-2024";1,485;-0,131;0,008;-0,022;-0,166;-0,621
"-*estelle_btl";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
"-*gab_petitdej";3,232;-0,013;-0,101;-0,281;-0,017;-0,733
